800 1000
12 39 299
12 47 111
2 50 647
43 64 645
2 87 632
59 97 947
35 109 142
69 121 683
82 127 792
25 129 881
46 152 925
34 153 567
34 155 932
141 162 418
97 162 481
99 163 604
148 168 351
153 176 784
64 184 322
92 186 750
80 199 8
10 208 664
216 222 859
106 223 520
94 223 540
122 231 11
59 231 968
209 234 19
102 235 855
137 236 466
109 240 514
171 241 200
196 244 347
36 247 814
37 249 646
191 249 308
85 249 3
234 250 305
57 251 886
248 256 307
29 256 702
71 262 881
268 268 212
217 271 122
89 275 996
162 286 868
274 288 689
246 289 424
190 298 837
225 314 434
200 318 808
174 319 220
158 320 118
46 327 957
170 330 455
294 330 790
151 332 598
6 337 250
235 341 283
59 343 415
239 353 985
339 354 260
106 355 807
142 366 103
132 368 749
214 371 803
328 373 28
227 377 421
184 385 889
289 386 82
57 386 43
35 388 523
364 391 658
317 391 770
28 392 677
157 397 629
9 399 904
127 405 962
249 405 840
141 406 513
315 407 674
276 408 341
390 410 201
131 412 948
406 413 353
409 414 356
158 415 784
123 416 80
421 422 340
178 423 897
99 423 650
129 427 92
274 428 212
53 430 667
10 431 66
202 433 543
164 436 925
67 439 278
381 439 45
177 440 406
343 446 396
144 450 494
429 451 87
159 458 640
386 458 82
340 459 786
282 459 735
327 460 837
119 462 548
126 463 93
329 467 475
193 476 655
115 479 977
67 479 848
305 482 168
482 482 113
20 483 824
146 485 486
347 486 600
150 487 973
147 494 758
306 494 549
299 494 381
62 495 439
360 497 290
438 497 208
417 498 159
58 498 932
393 498 979
282 499 666
78 500 558
336 500 63
78 500 830
105 503 489
374 508 967
365 509 542
354 511 782
160 512 170
367 516 837
308 524 210
211 526 751
183 529 638
495 532 311
482 532 910
415 533 750
342 533 131
340 533 749
390 535 607
259 536 146
486 538 790
435 541 542
209 542 104
110 542 873
420 542 318
122 547 598
141 548 2
484 549 415
114 549 398
421 550 632
68 550 185
549 551 974
481 554 583
457 555 645
409 556 658
29 556 302
150 557 485
421 557 812
557 557 218
55 557 77
481 559 349
440 561 970
139 562 368
401 562 497
511 567 747
255 568 718
470 568 135
341 569 712
138 570 79
476 573 717
571 574 808
268 575 405
16 581 951
547 582 954
370 582 286
40 582 737
326 583 384
459 584 188
466 584 741
512 585 137
370 586 384
28 586 711
79 589 20
260 592 127
25 593 449
272 593 200
265 594 931
332 594 161
68 595 334
283 595 351
535 598 510
336 601 980
596 602 106
80 602 485
363 602 553
340 603 26
364 604 468
418 606 204
175 609 417
599 610 212
517 612 977
463 613 494
608 615 304
209 615 143
101 617 333
58 617 428
508 617 495
515 618 540
551 622 301
572 623 116
499 623 484
215 624 957
163 626 685
548 627 257
590 628 169
467 629 877
284 629 163
291 630 627
83 630 134
232 632 171
299 633 125
473 634 518
492 636 599
339 637 200
536 637 268
457 641 459
633 642 413
535 642 266
381 642 546
74 643 40
326 647 67
229 649 150
408 650 323
109 650 533
487 651 869
595 652 152
105 652 136
306 653 215
76 656 107
207 657 753
589 657 350
638 660 142
627 661 351
105 662 590
540 663 543
502 665 334
323 666 553
185 669 567
311 670 559
626 670 675
371 674 78
616 675 409
28 677 722
214 678 923
571 680 932
421 680 764
110 682 181
338 683 192
527 684 785
370 684 682
452 684 682
676 685 560
275 690 358
684 690 817
301 692 220
259 693 585
177 695 742
675 695 162
407 697 933
408 699 689
472 701 828
665 702 85
56 704 585
408 705 274
244 707 194
262 708 448
564 708 426
334 709 863
114 710 971
583 710 380
569 713 233
215 715 127
708 715 328
176 715 502
372 715 581
715 716 990
505 716 640
260 718 523
235 719 370
601 720 294
593 720 869
8 721 227
432 721 440
443 722 561
362 722 929
130 723 729
376 723 127
721 726 935
719 727 266
408 729 874
320 729 739
632 729 613
340 730 874
575 731 486
327 732 95
142 734 384
155 735 824
310 735 172
151 735 660
90 737 513
72 738 536
697 739 145
617 739 455
546 740 458
299 742 854
325 743 892
687 745 537
702 746 698
128 746 671
440 748 332
646 748 541
296 749 961
669 749 185
569 753 296
423 754 602
709 754 377
149 754 183
517 755 438
728 756 591
510 757 693
127 758 846
519 759 547
240 759 693
599 760 310
345 760 168
354 761 859
561 761 4
710 761 789
744 763 392
10 763 653
576 765 93
369 765 294
40 765 903
717 767 691
616 772 791
743 772 749
556 772 109
378 772 497
722 773 132
595 773 764
289 773 677
26 773 620
332 774 961
372 775 616
456 776 473
744 776 764
740 776 313
125 777 527
151 778 90
757 779 955
618 779 898
662 780 422
317 781 193
76 781 603
528 781 368
561 781 522
697 782 524
766 782 638
274 783 807
216 784 617
299 785 387
666 786 804
457 787 744
557 787 115
737 788 178
96 788 284
184 789 460
352 789 10
465 789 475
500 790 436
650 791 596
578 792 949
406 792 277
744 794 939
375 794 344
729 796 977
704 796 755
256 796 698
703 797 168
710 798 295
476 798 96
556 799 560
725 799 745
122 800 561
747 800 458
458 801 486
763 801 828
735 801 722
777 802 572
791 804 714
756 805 955
546 805 290
483 805 856
670 807 658
345 807 14
97 808 111
724 810 686
799 811 899
708 812 934
782 815 413
28 816 902
733 818 144
511 820 981
696 820 996
700 821 996
26 821 608
213 821 239
305 822 206
417 822 229
722 823 86
500 824 813
189 824 973
797 825 673
147 825 713
558 825 106
292 828 87
270 828 350
792 829 355
343 829 286
520 829 429
604 833 324
494 834 351
226 834 619
592 834 847
105 834 877
837 838 249
538 839 419
789 841 502
770 843 13
469 844 40
663 847 554
176 847 359
828 847 488
801 848 262
723 848 664
842 850 728
770 850 731
737 851 435
173 851 491
733 852 386
758 853 613
578 854 316
787 855 770
735 856 728
539 858 106
832 858 74
535 858 135
593 858 51
697 859 839
340 859 925
404 860 237
440 861 669
790 861 841
829 864 393
649 865 66
843 866 226
432 870 947
847 870 663
585 870 188
809 873 935
670 874 454
750 874 717
533 875 188
713 875 675
514 877 75
844 877 59
708 878 131
359 878 4
824 879 71
780 879 115
655 880 276
544 880 940
699 880 848
581 881 261
821 881 866
823 881 779
424 882 617
635 884 615
463 884 976
704 884 794
480 884 133
882 885 282
829 885 419
274 886 649
35 886 433
797 886 375
513 887 977
431 890 957
331 890 49
3 890 262
874 891 680
821 891 655
847 891 452
507 891 590
742 892 590
658 892 627
764 893 721
857 893 876
325 894 493
856 894 918
392 896 646
893 896 700
736 896 330
643 897 779
